广电频道,#genre#
广东卫视（高清）,http://192.168.1.202:18080/D_7690_24_2403
浙江卫视（高清）,http://192.168.1.202:18080/D_7690_26_2601
湖南卫视（高清）,http://192.168.1.202:18080/D_7690_26_2602
东方卫视（高清）,http://192.168.1.202:18080/D_7690_26_2604
东南卫视（高清）,http://192.168.1.202:18080/D_7690_25_2501
北京卫视（高清）,http://192.168.1.202:18080/D_7690_25_2502
江苏卫视（高清）,http://192.168.1.202:18080/D_7690_25_2503
深圳卫视（高清）,http://192.168.1.202:18080/D_7690_28_2801
河南卫视（高清）,http://192.168.1.202:18080/D_7690_26_2603
重庆卫视（高清）,http://192.168.1.202:18080/D_7690_27_2701
重温经典（高清）,http://192.168.1.202:18080/D_7690_27_2702
陕西卫视（高清）,http://192.168.1.202:18080/D_7690_28_2803
安徽卫视（高清）,http://192.168.1.202:18080/D_7690_28_2804
四川卫视（高清）,http://192.168.1.202:18080/D_7690_29_2903
吉林卫视（高清）,http://192.168.1.202:18080/D_7690_30_3001
贵州卫视（高清）,http://192.168.1.202:18080/D_7690_32_3204
辽宁卫视（高清）,http://192.168.1.202:18080/D_7690_33_3304
黑龙江卫视（高清）,http://192.168.1.202:18080/D_7690_34_3404
江西卫视（高清）,http://192.168.1.202:18080/D_7690_49_4902
河北卫视（高清）,http://192.168.1.202:18080/D_7690_40_4003
甘肃卫视（高清）,http://192.168.1.202:18080/D_7690_40_4004
东方卫视,http://192.168.1.202:18080/D_7690_5_501
纪实科教（高清）,http://192.168.1.202:18080/D_7690_35_3504
女性时尚（高清特色）,http://192.168.1.202:18080/D_7690_38_3804
广东少儿,http://192.168.1.202:18080/D_7690_9_905
卡酷少儿（高清）,http://192.168.1.202:18080/D_7690_39_3902
东方财经（特色）,http://192.168.1.202:18080/D_7690_41_4101
金色学堂（特色）,http://192.168.1.202:18080/D_7690_41_4102
都市剧场（特色）,http://192.168.1.202:18080/D_7690_41_4103
央视文化精品,http://192.168.1.202:18080/D_7690_44_4401
央视电视指南,http://192.168.1.202:18080/D_7690_44_4402
CETV早期教育,http://192.168.1.202:18080/D_7690_44_4403
法治天地（特色）,http://192.168.1.202:18080/D_7690_45_4501
第一剧场（高清特色）,http://192.168.1.202:18080/D_7690_47_4701
风云剧场（高清特色）,http://192.168.1.202:18080/D_7690_47_4702
怀旧剧场（高清特色）,,http://192.168.1.202:18080/D_7690_47_4702
风云音乐（高清特色）,http://192.168.1.202:18080/D_7690_47_4704
风云足球（高清特色）,http://192.168.1.202:18080/D_7690_48_4802
高尔夫网球（高清特色）,http://192.168.1.202:18080/D_7690_48_4803
CETV-1（高清）,http://192.168.1.202:18080/D_7690_49_4901
澳亚卫视,http://192.168.1.202:18080/D_7690_8_805
东莞综合广播,http://192.168.1.202:18080/D_7690_23_2304
东莞交通广播,http://192.168.1.202:18080/D_7690_23_2305
东莞音乐广播,http://192.168.1.202:18080/D_7690_23_2306
谷豆频道1,#genre#
CCTV4K,http://172.16.241.29:80/gudou.php?id=364&id=4005
CCTV16-4K,http://www.namewee.xyz/gudou.php?id=364&id=4010
广东综艺4K,http://www.namewee.xyz/gudou.php?id=364&id=GDZYHD4K_38000
G导视高清,http://www.namewee.xyz/gudou.php?id=364&id=GHDdaoshi_7500
翡翠台,http://www.namewee.xyz/gudou.php?id=364&id=1350_4500
明珠台,http://www.namewee.xyz/gudou.php?id=364&id=1351_4500
澳视澳门,http://www.namewee.xyz/gudou.php?id=364&id=1352_4500
凤凰中文.576,http://www.namewee.xyz/gudou.php?id=364&id=fhzw_1500
星空卫视.576,http://www.namewee.xyz/gudou.php?id=364&id=xingkong_1500
澳亚卫视.576,http://www.namewee.xyz/gudou.php?id=364&id=aoya_1500
CCTV1,http://www.namewee.xyz/gudou.php?id=364&id=1402_4500
CCTV2,http://www.namewee.xyz/gudou.php?id=364&id=CCTV2HD_7000
CCTV3,http://www.namewee.xyz/gudou.php?id=364&id=1603
CCTV4,http://www.namewee.xyz/gudou.php?id=364&id=1604
CCTV5,http://www.namewee.xyz/gudou.php?id=364&id=1605
CCTV5+,http://www.namewee.xyz/gudou.php?id=364&id=1403
CCTV6,http://www.namewee.xyz/gudou.php?id=364&id=1606
CCTV7,http://www.namewee.xyz/gudou.php?id=364&id=1607
CCTV8,http://www.namewee.xyz/gudou.php?id=364&id=1608
CCTV9,http://www.namewee.xyz/gudou.php?id=364&id=CCTV9HD_7000
CCTV10,http://www.namewee.xyz/gudou.php?id=364&id=1610
CCTV11,http://www.namewee.xyz/gudou.php?id=364&id=CCTV-11HD_7500
CCTV12,http://www.namewee.xyz/gudou.php?id=364&id=CCTV12HD_7000
CCTV13,http://www.namewee.xyz/gudou.php?id=364&id=1613
CCTV14,http://www.namewee.xyz/gudou.php?id=364&id=CCTV14HD_7000
CCTV15,http://www.namewee.xyz/gudou.php?id=364&id=CCTV-15HD_7500
CCTV16,http://www.namewee.xyz/gudou.php?id=364&id=1617_4500
CCTV17,http://www.namewee.xyz/gudou.php?id=364&id=CCTV17HD
CGTN.576,http://www.namewee.xyz/gudou.php?id=364&id=CCTV15news_1500
广东卫视,http://www.namewee.xyz/gudou.php?id=364&id=1401
深圳卫视,http://www.namewee.xyz/gudou.php?id=364&id=shenzhenHD_7000
东方卫视,http://www.namewee.xyz/gudou.php?id=364&id=dongfangHD_7000
北京卫视,http://www.namewee.xyz/gudou.php?id=364&id=beijingHD_7000
湖南卫视,http://www.namewee.xyz/gudou.php?id=364&id=hunanHD_7000
江西卫视,http://www.namewee.xyz/gudou.php?id=364&id=jiangxiHD_7000
四川卫视,http://www.namewee.xyz/gudou.php?id=364&id=sichuanHD_7000
江苏卫视,http://www.namewee.xyz/gudou.php?id=364&id=jiangsuHD_7000
浙江卫视,http://www.namewee.xyz/gudou.php?id=364&id=zhejiangHD_7000
天津卫视,http://www.namewee.xyz/gudou.php?id=364&id=1415_4500
河北卫视,http://www.namewee.xyz/gudou.php?id=364&id=1426_4500
重庆卫视,http://www.namewee.xyz/gudou.php?id=364&id=chongqingHD_7000
贵州卫视,http://www.namewee.xyz/gudou.php?id=364&id=guizhouHD_7000
辽宁卫视,http://www.namewee.xyz/gudou.php?id=364&id=liaoningHD_7000
湖北卫视,http://www.namewee.xyz/gudou.php?id=364&id=hubeiHD_7000
安徽卫视,http://www.namewee.xyz/gudou.php?id=364&id=anhuiHD_7000
黑龙江卫视,http://www.namewee.xyz/gudou.php?id=364&id=heilongjiangHD_7000
吉林卫视,http://www.namewee.xyz/gudou.php?id=364&id=jilinHD
海南卫视,http://www.namewee.xyz/gudou.php?id=364&id=1451_4500
三沙卫视,http://www.namewee.xyz/gudou.php?id=364&id=1453
陕西卫视,http://www.namewee.xyz/gudou.php?id=364&id=1452_4500
东南卫视,http://www.namewee.xyz/gudou.php?id=364&id=dongnanweishiHD
山东卫视,http://www.namewee.xyz/gudou.php?id=364&id=1416_4500
河南卫视,http://www.namewee.xyz/gudou.php?id=364&id=henangaoqing_3000
广西卫视,http://www.namewee.xyz/gudou.php?id=364&id=guangxi
梨园频道,http://www.namewee.xyz/gudou.php?id=364&id=1937
武术世界,http://www.namewee.xyz/gudou.php?id=364&id=1938
文物宝库,http://www.namewee.xyz/gudou.php?id=364&id=1939
金色学堂,http://www.namewee.xyz/gudou.php?id=364&id=1940
东方财*,http://www.namewee.xyz/gudou.php?id=364&id=1941
CHC高清电影,http://www.namewee.xyz/gudou.php?id=364&id=CHCHD_7000
都市剧场,http://www.namewee.xyz/gudou.php?id=364&id=dushijuchangHD_7000
乐游,http://www.namewee.xyz/gudou.php?id=364&id=quanjishiHD_7000
求索纪录,http://www.namewee.xyz/gudou.php?id=364&id=QSJLHD_7000
求索science,http://www.namewee.xyz/gudou.php?id=364&id=qiusuokexueHD_7000
求索动物,http://www.namewee.xyz/gudou.php?id=364&id=QSDWHD_7000
求索生活,http://www.namewee.xyz/gudou.php?id=364&id=1612
魅力足球,http://www.namewee.xyz/gudou.php?id=364&id=meiliyinyueHD_7000
劲爆体育,http://www.namewee.xyz/gudou.php?id=364&id=jinbaotiyuHD_7000
新视觉,http://www.namewee.xyz/gudou.php?id=364&id=xinshijuegaoqing
游戏风云,http://www.namewee.xyz/gudou.php?id=364&id=youxifengyunHD
广东珠江,http://www.namewee.xyz/gudou.php?id=364&id=gdzhujiangHD_7500
广东体育,http://www.namewee.xyz/gudou.php?id=364&id=1413
广东新闻,http://www.namewee.xyz/gudou.php?id=364&id=1454
广东民生,http://www.namewee.xyz/gudou.php?id=364&id=1455
广东经济科教,http://www.namewee.xyz/gudou.php?id=364&id=GDjingjikejiaoHD_7000
大湾区卫视,http://www.namewee.xyz/gudou.php?id=364&id=1456
广东影视,http://www.namewee.xyz/gudou.php?id=364&id=1458
嘉佳卡通,http://www.namewee.xyz/gudou.php?id=364&id=1459
广东少儿,http://www.namewee.xyz/gudou.php?id=364&id=1457
岭南戏曲,http://www.namewee.xyz/gudou.php?id=364&id=1460
广州综合,http://www.namewee.xyz/gudou.php?id=364&id=gzhounewsHD
广州新闻,http://www.namewee.xyz/gudou.php?id=364&id=gzhouzongheHD
广州影视,http://www.namewee.xyz/gudou.php?id=364&id=gzcompetitiongaoqing
广州竞赛,http://www.namewee.xyz/gudou.php?id=364&id=gzfilmsgaoqing
广州法治.576,http://www.namewee.xyz/gudou.php?id=364&id=gzeconomic_1500
增城台,http://www.namewee.xyz/gudou.php?id=364&id=2079
东莞新闻综合,http://www.namewee.xyz/gudou.php?id=364&id=2121
东莞生活资讯,http://www.namewee.xyz/gudou.php?id=364&id=2122
佛山综合,http://www.namewee.xyz/gudou.php?id=364&id=foshanzongheHD_4500
佛山公共,http://www.namewee.xyz/gudou.php?id=364&id=foshangonggongHD_4500
佛山影视,http://www.namewee.xyz/gudou.php?id=364&id=foshanyingshiHD_4500
南海综合,http://www.namewee.xyz/gudou.php?id=364&id=nanhaiHD_4500
顺德综合,http://www.namewee.xyz/gudou.php?id=364&id=shundeHD_4500
珠海1,http://www.namewee.xyz/gudou.php?id=364&id=zhuhaiHD1_4500
珠海2,http://www.namewee.xyz/gudou.php?id=364&id=zhuhaiHD2_4500
斗门融媒,http://www.namewee.xyz/gudou.php?id=364&id=2207
惠州1,http://www.namewee.xyz/gudou.php?id=364&id=2314
惠州2,http://www.namewee.xyz/gudou.php?id=364&id=2316
博罗综合,http://www.namewee.xyz/gudou.php?id=364&id=2305
惠东综合,http://www.namewee.xyz/gudou.php?id=364&id=huidongHD
惠阳台.576,http://www.namewee.xyz/gudou.php?id=364&id=huiyangtai
潮州综合,http://www.namewee.xyz/gudou.php?id=364&id=3131
潮州民生,http://www.namewee.xyz/gudou.php?id=364&id=3132
潮安综合,http://www.namewee.xyz/gudou.php?id=364&id=chaoanzongheHD
饶平台,http://www.namewee.xyz/gudou.php?id=364&id=raopingtaiHD
汕头综合,http://www.namewee.xyz/gudou.php?id=364&id=shantouyitaogaoqing_4500
汕头经济生活,http://www.namewee.xyz/gudou.php?id=364&id=shantouertaogaoqing_4500
汕头文旅体育,http://www.namewee.xyz/gudou.php?id=364&id=2508_4500
揭阳综合,http://www.namewee.xyz/gudou.php?id=364&id=jieyangzongheHD
揭阳生活,http://www.namewee.xyz/gudou.php?id=364&id=jieyanggonggongHD
揭东综合.576,http://www.namewee.xyz/gudou.php?id=364&id=jiedongzonghe
中山综合,http://www.namewee.xyz/gudou.php?id=364&id=3665
中山香山文化,http://www.namewee.xyz/gudou.php?id=364&id=3663
中山教育,http://www.namewee.xyz/gudou.php?id=364&id=3664
江门综合,http://www.namewee.xyz/gudou.php?id=364&id=jiangmenzongheHD
江门侨乡生活.576,http://www.namewee.xyz/gudou.php?id=364&id=jiangmenyitao_1500
鹤山综合,http://www.namewee.xyz/gudou.php?id=364&id=3709
新会综合.576,http://www.namewee.xyz/gudou.php?id=364&id=xinhui_1500
梅州1,http://www.namewee.xyz/gudou.php?id=364&id=meizhou1HD_4500
梅州2,http://www.namewee.xyz/gudou.php?id=364&id=meizhou2HD_4500
梅州导视,http://www.namewee.xyz/gudou.php?id=364&id=meizhoudaoshiHD
梅县综合,http://www.namewee.xyz/gudou.php?id=364&id=meixianHD
平远综合,http://www.namewee.xyz/gudou.php?id=364&id=3434_4500
五华台.576,http://www.namewee.xyz/gudou.php?id=364&id=wuhua1HD
兴宁台.576,http://www.namewee.xyz/gudou.php?id=364&id=xingning1
茂名综合,http://www.namewee.xyz/gudou.php?id=364&id=3012_4500
茂名文化生活,http://www.namewee.xyz/gudou.php?id=364&id=3013_4500
信宜台,http://www.namewee.xyz/gudou.php?id=364&id=xinyigaoqing
化州综合.360,http://www.namewee.xyz/gudou.php?id=364&id=huazhoutai
云浮综合,http://www.namewee.xyz/gudou.php?id=364&id=yunfuzongheHD_4500
云浮文旅.576,http://www.namewee.xyz/gudou.php?id=364&id=yunfuertao_1500
河源综合,http://www.namewee.xyz/gudou.php?id=364&id=heyuanzongheHD_4500
河源公共.576,http://www.namewee.xyz/gudou.php?id=364&id=heyuanertao_1500
清远新闻综合,http://www.namewee.xyz/gudou.php?id=364&id=qingyuanzongheHD
清远文旅生活.576,http://www.namewee.xyz/gudou.php?id=364&id=qingyuangongong_1500
佛冈综合.576,http://www.namewee.xyz/gudou.php?id=364&id=2405
英德综合.360,http://www.namewee.xyz/gudou.php?id=364&id=yingdezonghe
汕尾新闻综合,http://www.namewee.xyz/gudou.php?id=364&id=shanweizongheHD
汕尾文化生活,http://www.namewee.xyz/gudou.php?id=364&id=shanweigonggongHD
廉江综合-1,http://www.namewee.xyz/gudou.php?id=364&id=3209
廉江综合-2,http://www.namewee.xyz/gudou.php?id=364&id=3210
湛江综合.576,http://www.namewee.xyz/gudou.php?id=364&id=zhanjiangzonghe_1500
湛江公共.576,http://www.namewee.xyz/gudou.php?id=364&id=zhanjianggonggong_1500
韶关新闻综合.576,http://www.namewee.xyz/gudou.php?id=364&id=shaoguanzonghe_1500
韶关绿色生活.576,http://www.namewee.xyz/gudou.php?id=364&id=shaoguangonggong_1500
始兴综合.576,http://www.namewee.xyz/gudou.php?id=364&id=2641
肇庆综合.576,http://www.namewee.xyz/gudou.php?id=364&id=zhaoqingyitao_1500
肇庆生活服务.576,http://www.namewee.xyz/gudou.php?id=364&id=zhaoqingertao_1500
怀集综合.576,http://www.namewee.xyz/gudou.php?id=364&id=2805_2000
移动央视,#genre#
CCTV1,http://116.162.6.191/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225490/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV3,http://39.134.66.66/PLTV/88888888/224/3221225799/index.m3u8
CCTV4,http://39.134.66.66/PLTV/88888888/224/3221225797/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5,http://39.134.66.66/PLTV/88888888/224/3221225818/index.m3u8
CCTV5,http://113.101.119.52:808/hls/58/index.m3u8
CCTV5,http://39.134.67.108/PLTV/88888888/224/3221226027/index.m3u8
CCTV5,http://39.134.67.108/PLTV/88888888/224/3221225818/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://39.134.66.66/PLTV/88888888/224/3221225814/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://39.134.66.66/PLTV/88888888/224/3221225795/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://39.134.66.66/PLTV/88888888/224/3221225812/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CGTN,https://pi.0472.org/tv/fct.php?auth=2310201855
CGTN,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225604/index.m3u8
CGTN-DOCUMENTRAY,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8
港澳台,#genre#
翡翠台,http://172.16.149.176:9090/live/1350_4500.m3u8?t=A5ZjU2OThiNjAxMzExMTBkN==&u=freeuser&p=1&pid=&cid=1332&d=b60131110d72d53&sid=qM76HwHmvzjbzuVH+7a9UQ==&r=20230204125046&e=20230204185051&nc=OOlclCvR2tFj&a=7&v=2&isSuma=1&hlsSessionID=7824443072380439746&srchost=172.16.149.181:8060
翡翠台,http://www.namewee.xyz/gudou.php?id=364&id=1350_4500
翡翠台,http://198.16.100.90:8278/jade_twn/playlist.m3u8?tid=ME6E1330319113303191&ct=19225&tsum=d76985c4965fd63807e131035f66af09
ViuTv,http://ali.hlspull.yximgs.com/live/huanqiuhklivefhtjjnjjdldjlujobnmjjhnbbmdjlpthjyjvjutv.flv
ViuTv,http://198.16.100.90:8278/viu1_twn/playlist.m3u8?tid=MF9F2344917423449174&ct=19254&tsum=3cb061ac749a32280d3b88c022a1403f
HOY77,http://ali.hlspull.yximgs.com/live/huanqiuhkliveyvjojmfdyjjdjdjhdnowspjjlfjhjtycxjfjjojtspjjmehoytv.flv
HOY78,http://ali.hlspull.yximgs.com/live/huanqiuhklivejejcxlvofbncvshhjsjcvndfncvbdjpeyjhxchjsjjhjejjjyxxw.flv
港台31,http://ali.hlspull.yximgs.com/live/huanqiuhklivehpjdthpthcvhnjujulsfjhcvbjuyhbnjyjthj31.flv
港台32,http://198.16.100.90:8278/rhk32_twn/playlist.m3u8?tid=MBCB4455322944553229&ct=19226&tsum=60bac13753ada5abc8873783d6611ebd
港台32,http://ali.hlspull.yximgs.com/live/huanqiuhklivejpjjecxvjjusjfjjfdhnbthjjsjfwdtncyjthj32.flv
J2,http://ali.hlspull.yximgs.com/live/huanqiuhklivefhwohdpthjyfiplhdftujfbvdimhdjnbjsjbcvxjfjsehbvbjtvbd2.flv
J2,http://198.16.100.90:8278/j2_twn/playlist.m3u8?tid=m22905da1d346&ct=18336&tsum=3b4998c4f5367bb820165f66b0caab0e
J2,http://198.16.100.90:8278/j2_twn/playlist.m3u8?tid=MFCF3274854132748541&ct=19254&tsum=699466c18aac56202ad1d2843fd21032
星河台（国语）,http://ali.hlspull.yximgs.com/live/huanqiuhklivejjmjptvjsjjwxnhjjwjjtjjjtyfjsjjsjcfjxfjwmxjdtvbxh.flv
无线新闻台,http://ali.hlspull.yximgs.com/live/huanqiuhklivefhwjpthljjsjsjjbvdljdmnbjhdhyjyjtvbwxxw.flv
无线新闻台,http://198.16.100.90:8278/inews_twn/playlist.m3u8?tid=MD8D9734527497345274&ct=19249&tsum=88c5d57f9fdce89810d61e1001910a80
无线新闻台,http://198.16.100.90:8278/inews_twn/playlist.m3u8?tid=MF7F8784108987841089&ct=19225&tsum=50d719a9ed62cc070153963585e6d9d3
无线财经,http://198.16.100.90:8278/tvbcaijing_twn/playlist.m3u8?tid=MD3D9552893795528937&ct=19254&tsum=77d4c2db4fa7537d7dd3eb19f933526d
无线财经,http://ali.hlspull.yximgs.com/live/huanqiuhklivefhwylwpthjyjjfjxvjlmnduhyjmtvbwxcd.flv
无线财经,http://ali.hlspull.yximgs.com/live/huanqiuhklivefhwohdpthfgfbvcfghjyfjsjbcvxjvbxjsfjfjsehbvbjtvbd5.flv
ELTA影剧,http://198.16.100.90:8278/eltadrama_twn/playlist.m3u8?tid=MFDF4206608342066083&ct=19225&tsum=c6e03c86e60731f01aef66e1b32dcc84
ELTA影剧,http://ali.hlspull.yximgs.com/live/huanqiuhklivesfbxcvjsfjdhnfcvbsxjdnjsvmvbsjjjfdhyujmjbvnjslhxd.flv
愛爾達體育Ⅰ,http://ali.hlspull.yximgs.com/live/huanqiuhklivejejpjxcvjpjojdxcvdjojdjpoedhopjfvxcjhetouhjjvjjjtyy.flv
愛爾達體育Ⅲ,http://ali.hlspull.yximgs.com/live/huanqiuhklivecxvpjeyjdcxojvmjljbtjwjhojudscbcxojcvmnfujlbhhjtys.flv
纬来体育,https://hls.yjjcfw.com/live/vl.m3u8?hwSecret=8b6d7dbcec85c678564613c8e13763e54b28361ef3560dd3c872267ef4237c64&hwTime=67286CF8
台视,http://ali.hlspull.yximgs.com/live/huanqiuhkliveptejfsxlvcjdewjjjpsjfvvxcjjjpfossvbxcfjjtjvxjhlts.flv
华视,http://ali.hlspull.yximgs.com/live/huanqiuhklivepdymvcjnjjjcvbcvbjtyjjjffcfjvjftojjbvcjfednhs.flv
民视,http://ali.hlspull.yximgs.com/live/huanqiuhklivephjwfpjwvnjfdlsetfjjjjsjsftewjhvcbjjfdjuoljbms.flv
民视新闻台,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
中视,http://ali.hlspull.yximgs.com/live/huanqiuhklivejphfwnmfdcjfxcvhjjwjfbfjdyujjnmfcbsfjejtyhsdjs.flv
东森综合,http://198.16.100.90:8278/ettvzhonghe/playlist.m3u8?tid=m65c4e525f24617101171&ct=17874&tsum=663db593cfeefc92ce4b5d7461988f3f
ViuTv6,http://ali.hlspull.yximgs.com/live/huanqiuhklivefhwjptdjbehjtyhbvhfjcvsjjfyjtvjutvsjx.flv
娱乐新闻台,https://edge6a.v2h-cdn.com/enew/enew.stream/chunklist.m3u8
国外,#genre#
Fox weather,https://247wlive.foxweather.com/stream/index.m3u8
CNN,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
NBC News,https://lnc-nbc-news-now.tubi.video/master.m3u8
ESPN,http://143.244.60.30/ESPN/index.m3u8
Nickelodeon East (720p),http://143.244.60.30/NICKELODEON/index.m3u8
韩国TJBSBS,http://1.245.74.5:1935/live/tv/.m3u8
卫视,#genre#
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
北京纪实科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
安徽卫视,http://39.134.67.108/PLTV/88888888/224/3221225925/index.m3u8
山东卫视,http://39.134.66.66/PLTV/88888888/224/3221225680/index.m3u8
广东卫视,http://39.134.66.66/PLTV/88888888/224/3221225667/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
江西卫视,http://39.134.66.66/PLTV/88888888/224/3221225512/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
湖北卫视,http://39.134.66.66/PLTV/88888888/224/3221225569/index.m3u8
湖北卫视,http://39.134.66.66/PLTV/88888888/224/3221225594/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
江西卫视,http://39.134.67.108/PLTV/88888888/224/3221225935/index.m3u8
深圳卫视,http://39.134.67.108/PLTV/88888888/224/3221225943/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225620/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225623/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225626/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
卡通,#genre#
CN卡通台,http://198.16.100.90:8278/momo1_twn/playlist.m3u8?tid=MDCD8337337283373372&ct=18393&tsum=3744c35f02ab2207fb7dbbcb450f02d6
江苏优漫卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
湖南金鹰卡通,http://39.134.66.66/PLTV/88888888/224/3221225561/index.m3u8
北京卡酷少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
黑莓动画,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
其它,#genre#
TV新闻综合,http://124.88.144.73:1935/live/xwzh/playlist.m3u8
动作电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
古装剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
